&,Ziv 127,,,,,,,,,,,
104a,1,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,100,3
104b,1,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,100,3
104c,1,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,80,3
104d,1,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
104e,1,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
104f,1,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
103a,1,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,100,3
103b,1,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,100,3
103c,1,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,80,3
103d,1,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
103e,1,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
103f,1,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
202a,2,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,100,3
202b,2,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,100,3
202c,2,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,80,3
202d,2,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
202e,2,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
202f,2,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
203a,2,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,100,3
203b,2,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,100,3
203c,2,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,80,3
203d,2,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
203e,2,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
203f,2,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
204a,2,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,100,3
204b,2,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,100,3
204c,2,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,80,3
204d,2,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
204e,2,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
204f,2,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
302a,3,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,100,3
302b,3,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,100,3
302c,3,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,80,3
302d,3,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
302e,3,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
302f,3,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
303a,3,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,100,3
303b,3,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,100,3
303c,3,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,80,3
303d,3,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
303e,3,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
303f,3,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
304a,3,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,100,3
304b,3,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,100,3
304c,3,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,80,3
304d,3,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
304e,3,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
304f,3,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
402a,4,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,100,3
402b,4,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,100,3
402c,4,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,80,3
402d,4,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
402e,4,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
402f,4,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
403a,4,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,100,3
403b,4,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,100,3
403c,4,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,80,3
403d,4,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
403e,4,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
403f,4,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
404a,4,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,100,3
404b,4,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,100,3
404c,4,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,80,3
404d,4,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
404e,4,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
404f,4,0011,suite,mixed,4630,1350,FALSE,TRUE,TRUE,--,95,3
